id|name|dob|age|gender|address|country|email|created_at|updated_at|total_kycs|last_kyc_date|kyc_outcome|wallet_num|fav_game|fav_game_bets|fav_game_bet_value|fav_game_profit|total_games|total_bets|bets_in_30days|bets_in_90days|total_bet_value|total_profit
0817387533|Madeline Alvarado|1996-11-17|28|Female|84190 Roberts Landing Apt. 625 Chaneyport, AZ 87607|Cuba|madelinealvarado@holder.com|2024-10-19 14:35:33|2024-12-10 00:14:54|1|2024-11-23 14:51:26|Confirmed|1|Cricket|11|614.3|128.43|34|43|23|30|2135.71|189.52
1979198372|Maria Garcia|1949-06-18|75|Male|862 Hernandez Drive North Audreyville, PA 46947|Croatia|mariagarcia@hotmail.com|2024-01-23 19:20:08|2024-02-28 17:03:24|1|2024-06-29 00:47:40|Confirmed|1|Cricket|14|653.17|64.86|37|46|16|29|2200.04|241.22999999999996
9146669647|Darren Morris|1999-04-07|25|Male|9707 Sierra Crescent North Elizabethbury, CT 74325|Estonia|darrenmorris@gmail.com|2022-02-24 10:41:49|2023-08-03 03:55:18|1|2023-06-25 15:18:26|Confirmed|3|Cricket|14|832.96|542.85|40|49|11|27|2428.7200000000003|600.57
3419872890|Christopher Johnson|2002-04-18|22|Female|7353 Martin Mills Ericaport, NJ 36668|Sudan|christopherjohnson@hotmail.com|2024-09-28 15:20:11|2025-01-07 13:56:21|2|2025-01-10 04:54:06|Confirmed|2|Football|15|826.93|383.93|40|48|12|36|2577.03|1026.19
2125398960|Joan Wheeler|1977-02-16|47|Male|92849 Joshua Burgs Christopherview, MA 94017|Bhutan|joanwheeler@hotmail.com|2024-01-23 13:15:59|2024-11-17 10:19:51|1|2024-03-08 17:49:01|Confirmed|2|Cricket|20|1142.14|252.44|38|49|2|27|2726.96|1008.82
9785727425|Gerald Williams|1989-04-19|35|Male|05062 Burke Circle Apt. 632 Jeremychester, GA 88083|Congo|geraldwilliams@hotmail.com|2024-09-25 22:19:58|2024-10-03 21:14:03|2|2025-01-01 10:41:58|Confirmed|1|Horse Racing|12|443.85|201.45999999999998|38|49|14|29|2412.08|997.41
8079578459|Sandra Roberts|1977-04-25|47|Male|31092 Pierce Forest Smithton, OH 59758|Vietnam|sandraroberts@holmes-garcia.info|2024-04-07 08:57:48|2024-11-14 18:50:36|1|2024-04-29 21:15:49|Confirmed|1|Football|12|647.71|193.20999999999998|31|34|11|22|1699.0800000000002|194.23999999999998
7049957459|Reginald Green|1998-02-23|26|Male|32679 Herrera Squares Apt. 437 Maryside, VT 14457|Oman|reginaldgreen@ramsey-allen.org|2023-09-21 14:06:27|2024-10-29 17:09:34|1|2024-04-02 09:43:00|Confirmed|2|Cricket|12|644.65|183.62|43|54|15|38|2814.88|770.46
3415893782|Candice King|2004-01-29|20|Male|0754 Dennis Villages Apt. 626 West Christineport, RI 87095|Norfolk Island|candiceking@gmail.com|2022-10-10 11:39:20|2023-01-26 18:31:41|1|2023-07-19 13:03:11|Confirmed|1|Cricket|15|781.66|-188.44|43|59|20|44|3088.97|283.83
5677589239|Brad Torres|1966-10-16|58|Male|338 Anthony Loop Apt. 699 North Catherinehaven, OK 21233|Guatemala|bradtorres@gmail.com|2023-01-10 23:13:25|2023-03-18 07:06:18|1|2023-05-19 22:02:20|Confirmed|2|Cricket|13|598.52|190.73999999999998|43|51|16|34|2533.0099999999998|955.7099999999999
7163600209|Heather Cannon|1952-03-30|72|Male|7477 Molina Coves Apt. 638 West Damon, FL 72059|Estonia|heathercannon@price.info|2022-03-24 22:13:36|2023-04-12 01:31:34|2|2024-09-23 07:50:54|Confirmed|4|Greyhounds|9|512.89|344.92|37|51|11|33|2870.92|590.39
3255177997|Joshua Hughes|1996-02-26|28|Male|PSC 7720, Box 1799 APO AE 23666|Saint Vincent and the Grenadines|joshuahughes@roberts.com|2024-10-16 16:46:17|2024-10-24 14:38:21|1|2024-12-16 22:00:00|Confirmed|3|Cricket|13|649.9399999999999|248.14|42|45|9|27|2051.81|466.91999999999996
8894720351|Troy Cortez|1998-08-12|26|Female|0433 Justin Viaduct Apt. 403 Chaneyfurt, ND 17685|Canada|troycortez@hotmail.com|2024-05-19 16:29:43|2024-10-22 00:30:54|2|2025-01-10 18:29:53|Confirmed|1|Cricket|16|969.54|369.89|40|59|14|43|3149.76|986.66
9677001723|John Owens|2005-11-14|19|Male|5769 Michael Walk Apt. 277 Lorichester, HI 96530|Cuba|johnowens@yahoo.com|2023-11-07 09:18:28|2024-10-18 16:32:30|1|2024-04-20 03:21:34|Confirmed|2|Cricket|16|791.36|246.76000000000002|34|44|12|25|2365.41|752.47
6480347263|Aaron Jones|1974-12-18|50|Male|885 Joseph Greens Suite 804 Williamfort, NJ 80083|Australia|aaronjones@gmail.com|2022-07-11 23:12:36|2022-10-28 16:28:01|1|2022-12-22 16:15:28|Confirmed|1|Cricket|9|430.81|133.52|34|45|11|34|2344.28|706.5
6451644387|Tracy Molina|1973-06-23|51|Female|13043 Jordan Corners Apt. 836 Donnaland, DE 99605|British Indian Ocean Territory (Chagos Archipelago)|tracymolina@yahoo.com|2023-04-17 23:47:37|2024-06-04 09:17:09|1|2024-07-11 06:47:15|Confirmed|2|Cricket|18|1106.3700000000001|532.6899999999999|37|52|14|35|2901.13|999.54
0485837296|April Landry|1982-08-13|42|Female|USS David FPO AP 18386|Czech Republic|aprillandry@yahoo.com|2023-09-25 01:02:56|2024-07-23 00:25:03|1|2024-07-11 10:16:06|Confirmed|1|Football|13|598.3100000000001|128.99|33|47|14|34|2257.8900000000003|578.51
3325595648|Susan Jones|1977-12-01|47|Female|3583 Taylor Trail Johnhaven, TX 81746|Pakistan|susanjones@gmail.com|2024-04-29 07:47:18|2024-08-10 11:12:37|1|2024-05-23 20:50:52|Confirmed|1|Cricket|17|861.47|693.39|43|57|11|35|2993.75|1092.22
2151660861|Katie Evans|1968-05-04|56|Male|6888 Eddie Village Apt. 174 South Laceytown, GA 18880|Antigua and Barbuda|katieevans@buck.com|2022-01-09 14:10:53|2024-04-13 07:15:03|1|2022-10-02 05:15:59|Confirmed|1|Cricket|13|589.1800000000001|129.44|33|41|9|24|1814.8300000000002|391.75
1810500785|Michael Mercado|2004-03-11|20|Male|56661 Elizabeth Gateway Apt. 672 Guzmanchester, NJ 44951|Antigua and Barbuda|michaelmercado@hotmail.com|2022-10-21 07:44:42|2022-12-18 17:07:12|1|2022-10-30 07:58:13|Confirmed|2|Cricket|17|877.8100000000001|474.33|38|52|12|35|2637.83|584.99
2320991026|Natalie Jimenez|2004-07-30|20|Female|Unit 2161 Box 5818 DPO AA 25368|Panama|nataliejimenez@gmail.com|2024-06-18 21:52:12|2024-09-14 01:33:07|1|2024-09-26 21:48:55|Confirmed|2|Greyhounds|13|759.75|212.78|33|43|9|31|2339.51|693.65
7212445158|Tom Taylor|1972-06-06|52|Male|834 Bishop Land Apt. 378 Sanderston, AK 04700|Guernsey|tomtaylor@proctor.net|2022-02-27 00:59:12|2022-12-24 08:53:59|1|2024-01-04 23:45:42|Confirmed|3|Greyhounds|11|653.45|-79.75|39|49|15|31|2560.57|637.68
